selloffAggro,selloffThreshold,zscoreThresh,profit
0.06393832175283853,0.47333941987933,2.4918875420176914,464018
0.05078447680832861,0.3489312966786014,2.339821815621486,444411
0.05002184331344683,0.3401428580321088,2.209868544627962,438862
0.057051223158189356,0.860343111119359,1.1587718697268203,403281
0.052648489430064,0.6600419978703116,2.4867242271623375,398869
0.05269989703903101,0.9887003302072066,1.4391659512075752,395268
0.06122977561460551,0.9799501848757146,1.2503755795649485,394205
0.05109257397504164,0.9529282114218098,1.7354538764462095,391918
0.05154407454412026,0.9452927088850075,1.0350028741200104,391448
0.05210775040738508,0.9400166806130084,1.027540437705232,391448
