croissanthistorylength,croissantzthreshold,diff_threshold_b1_b2,kelpminvolume,kelpspreadedge,kelptw,pb1Hold,pb1high,pb1low,pb1mid,pb1neg,pb2Hold,pb2high,pb2low,pb2mid,pb2neg,s1Zscore,s2Zscore,squidhistorylength,squidoverbought,squidoversold,squidrsi,squidrsitradesize,squidz,profit
362.4551923983302,0.5720007531915708,209.64104930959218,15.574433631005485,1.1158690326909184,8.960861448900149,17.966300457393363,27.619588000713854,-2.815487459200874,2.3530763925663267,-30.295246893348235,0.4082718057824841,32.64767660455528,-2.21394973898581,1.9633099868746235,-34.248827235741366,0.07060891620189914,1.73488417126026,641.5712814618771,13.645490985039011,69.77947615989767,29.399300031360966,49.08104380834565,0.32081556437171077,183527
150.11319952188728,1.6946041093193083,186.98208611341002,20.013952447294308,1.197627415711994,4.319388421826425,2.934913974722686,19.67730386091636,2.40167463025041,17.73845312127317,-12.909553065735775,14.53458198877221,36.85828222779355,-5.514922447618615,30.372377173080228,-13.43622538761565,0.759104130090398,2.1944950206610088,948.8017774615405,99.22248525899867,81.52721084234435,41.606767290053966,11.397555239678619,2.0291693620256677,181796
320.20815642485354,0.3292527145471086,256.23734878937586,8.782220304876853,1.8406778617070012,1.550136460453176,2.885912471147467,30.81642177113182,-9.92450577364653,24.824277022962427,-20.58481362895179,26.299697567265383,31.575260582272968,-3.5592535751224696,15.470238517515714,-15.051154601557958,1.3150662521719556,1.5289362463774951,117.32825892241239,98.78336031803954,74.12800673672415,7.162263427803844,33.11723366491904,1.4290053265525033,179797
940.5181257685614,2.387125013656339,277.01338535952107,18.50793501277222,1.0618264661154697,18.63805268916678,21.409207415865716,38.69953794270311,9.272399541785056,34.26736876322704,-24.98310650445113,19.254886430096263,34.19433018915742,-3.661559896874447,7.610217120757607,-12.159936877082494,2.3435791966939132,1.755273001853684,570.4911089192756,9.717649377076853,61.500722669916975,49.50269250521316,7.004200761826201,1.55498895709121,179460
258.66459391703205,1.7305588790425666,184.24388110595848,20.52296534163161,1.685283028375283,16.527847222275152,8.20201964149469,25.381169947229143,-8.688238635652981,1.1481427390328274,-29.822237935760818,32.78815914389832,29.90315080645663,8.572265544456794,15.067027206704235,-26.81427485330599,0.24658421678055964,1.7922243683020933,862.5224319023828,2.8941566979371336,10.235113277725482,34.63259935248119,20.14213309978003,2.446885014456247,176722
591.0574375666241,1.551411076266955,297.58453854771824,15.566429927615182,2.3402029089985783,6.6819504231029105,14.840585723719757,18.510791105903213,-9.349202216286717,6.6657332668493385,-38.500567232449505,12.926828680757414,16.589824687042224,4.037589835417197,8.300221032742996,-14.79989355745273,2.1034194875536745,2.0329198532525905,98.66369003943105,58.32068776587932,90.83620268892575,45.1043676218194,30.951252770847375,1.315469740533601,176028
443.1278888791442,0.8696298917715385,179.4879287281932,8.412830204348666,1.2370226547272152,7.534624792122006,28.142796124488434,33.504017099388705,-9.259353996659872,28.98471869223977,-39.755965323677735,25.674079551923146,24.398173610129682,7.763426259904264,22.650100154096574,-24.191875278577335,1.2602712125254965,0.572520130809356,715.4521626186909,41.671822116091704,19.767225351855664,4.075630691542287,17.01437754618067,1.2780869147109974,175786
83.82468693138111,1.9986424271981207,176.81178718337623,21.754332910153977,1.0759719412257929,18.701731483236166,9.978304877929418,35.75811056919788,-9.119693778772021,8.21112571801026,-23.567822161521278,3.992983858542787,39.24633346643844,5.3673705589852165,26.894882465666697,-26.14302439508072,1.5979419182372936,1.4416802707345928,700.9250354809233,48.329867760232446,7.948708438025076,1.8052213095494263,36.389173105993436,1.9572108152191876,175472
348.9310347767605,0.7586082863254183,254.48465880707042,14.876530198593407,1.365386889765153,3.0069712442336365,42.51791730648974,29.382724287999576,-0.7979694442902936,15.901381209905495,-10.334743916014439,36.86676655122149,17.95386747815782,1.753081691747461,2.657866347855312,-36.31509468500873,0.35849599475933824,1.2426991203560878,767.3732242089842,31.728450254134078,90.93368358085169,32.97181429862553,44.04478295166717,1.8322865519033629,174748
756.9734369014994,1.1336198233552817,220.99719000889047,19.461523584589425,1.915501849933996,12.340185660867428,46.409104905697575,37.236441280603046,-3.1618944378901936,21.579421182646104,-29.20656917293708,49.78155547494417,39.263598406849496,2.990178594148947,32.372148327421456,-4.244991935815001,1.5032376366466973,0.18070259262279936,455.3095782101084,67.47863021674105,67.75316138836847,18.65613092111918,47.084599332901526,0.502071096710343,174680
