macdumpGreed,macmean_window,macpatience,macstandardGreed,mactrade_size,maczscore,profit
2.5061538124973706,32.1461078846286,19.247726926457435,4.576101828425811,56.25267691847569,2.8096923597629924,-5222
2.378125086679817,24.55888075712415,27.833170400406175,3.5674936650984224,51.239666000333024,2.031860895639276,-5343
3.0715257515242183,15.378877409759472,10.973774458545293,1.6753230889771809,41.80266583446316,1.8142695096934394,-6918
4.872267548669925,1.9488385867069873,10.352205816030096,1.0405389596030858,39.61490551605094,2.6352009234978766,-8223
2.994518991779158,19.901530009472285,10.789789308869187,3.8229054736203096,51.46144134586559,3.150199371644493,-8223
4.633811160229214,36.755974739596574,16.41326584082212,1.0983900344909163,54.89399267103017,1.491675840174851,-8223
2.7726141425685604,10.476909277157919,11.486762821921133,2.3609778137915503,37.69853363499762,3.606865959953499,-8223
2.4887537877483847,29.24979048323348,20.25728877947858,2.107070006057141,47.85481894347872,1.6196323065639537,-8256
4.555066961296168,34.33315826584001,18.104805926511872,3.5605452040000856,50.67483538694399,1.491396340488833,-8407
2.13460066729068,22.832770364846162,13.91357845736953,2.2469882036343694,48.12609579151903,2.491168659947505,-10628
3.6835647501175544,38.68595391376469,14.096892855027498,1.6683124777510439,60.933435744777896,3.0960013798859265,-10753
1.1699755045410551,34.6720397053105,13.840728332876296,2.1904840656167814,49.77858188851908,3.352400930455264,-10753
4.2001029545943,17.16950474437477,12.21176509878961,2.178282479554679,27.71564265015212,3.8150138674563996,-10753
2.5764545879794607,8.53744791651527,12.137216049259063,3.7893294546557224,47.31971981109043,3.2194435510764245,-10753
3.212895891236367,12.081571683968015,12.717294594468024,2.8288684911808955,53.116414068787215,3.8238023205064184,-10753
2.696926481074332,29.278038768533918,13.921275587839087,1.4270776466372117,54.92734685924796,3.0846433688839707,-10753
2.5027898805272586,11.887161815359839,15.687037780188644,4.834777438448776,42.56167894443754,3.8478808823735977,-10753
4.760254428228615,3.496715701625016,12.476143680273424,3.353128222665128,34.18127241867316,3.989103420414189,-10753
1.3860028649954363,6.0234583382957005,18.65001116120662,1.2509885893072248,53.374514993352875,2.500619371256887,-11759
3.03704084355265,2.1795542185634305,16.636135335352016,2.1284563386997695,27.571079754762636,2.9151684998794702,-11759
