Permutation,SkewScore,SatisfiedPairs,DMT12,DMT4,DMT5,DMT15,DMT9,DMT10,DMT6,DMT11,DMT1,DMT3,DMT13,DMT8,DMT2,DMT14
"['Materials', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Instrumentation', 'Structures']",0.663,7,0.737,5.638,6.575,3.652,8.031,7.543,6.356,3.796,0.821,4.401,4.333,1.148,2.465,2.616
"['Materials', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Instrumentation', 'Structures']",0.662,7,0.941,5.057,6.778,3.477,8.439,7.543,6.356,4.407,1.228,3.819,3.751,1.555,2.291,2.645
"['Materials', 'Instrumentation', 'Structures', 'Dynamics', 'Thermofluids', 'Mechanisms']",0.66,8,2.237,7.399,5.549,2.865,8.688,5.888,6.078,2.914,1.382,3.732,3.569,2.928,3.054,2.363
"['Materials', 'Thermofluids', 'Structures', 'Dynamics', 'Mechanisms', 'Instrumentation']",0.66,6,0.937,5.302,6.865,2.621,8.186,7.364,7.295,3.727,1.579,3.551,4.086,1.727,2.552,2.658
"['Materials', 'Instrumentation', 'Structures', 'Mechanisms', 'Thermofluids', 'Dynamics']",0.659,8,2.471,6.733,5.783,2.665,9.155,5.888,6.078,3.614,1.849,3.065,2.902,3.395,2.854,2.396
"['Materials', 'Instrumentation', 'Dynamics', 'Structures', 'Thermofluids', 'Mechanisms']",0.659,9,1.998,7.742,5.31,3.447,8.449,5.888,5.599,2.674,0.903,4.314,3.911,2.449,3.157,2.465
"['Materials', 'Thermofluids', 'Structures', 'Mechanisms', 'Dynamics', 'Instrumentation']",0.659,6,1.072,4.917,6.999,2.506,8.456,7.364,7.295,4.131,1.849,3.165,3.701,1.997,2.437,2.677
"['Materials', 'Thermofluids', 'Dynamics', 'Structures', 'Mechanisms', 'Instrumentation']",0.659,6,0.698,5.644,6.625,3.203,7.947,7.364,6.815,3.487,1.1,4.132,4.429,1.248,2.655,2.761
"['Materials', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Structures', 'Instrumentation']",0.658,6,0.674,5.486,6.601,3.473,8.058,7.364,6.498,3.733,1.052,4.132,4.27,1.2,2.607,2.848
"['Materials', 'Instrumentation', 'Mechanisms', 'Structures', 'Thermofluids', 'Dynamics']",0.657,9,2.435,6.493,5.747,3.072,9.323,5.888,5.599,3.985,1.777,3.065,2.662,3.323,2.782,2.528
"['Materials', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Thermofluids', 'Structures']",0.657,9,1.956,7.467,5.269,3.913,8.641,5.888,5.05,3.1,0.821,4.314,3.636,2.367,3.075,2.616
"['Materials', 'Thermofluids', 'Mechanisms', 'Structures', 'Dynamics', 'Instrumentation']",0.657,6,1.036,4.677,6.963,2.913,8.624,7.364,6.815,4.503,1.777,3.165,3.461,1.925,2.365,2.809
"['Materials', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Structures', 'Instrumentation']",0.657,6,0.878,4.904,6.805,3.298,8.465,7.364,6.498,4.344,1.46,3.551,3.688,1.608,2.433,2.877
"['Materials', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Thermofluids', 'Structures']",0.656,9,2.16,6.885,5.472,3.739,9.048,5.888,5.05,3.71,1.228,3.732,3.055,2.774,2.9,2.645
"['Materials', 'Instrumentation', 'Structures', 'Dynamics', 'Mechanisms', 'Thermofluids']",0.653,8,2.336,7.399,5.366,2.921,8.885,5.466,5.796,2.928,1.579,3.451,3.287,3.125,3.251,2.658
"['Materials', 'Structures', 'Thermofluids', 'Instrumentation', 'Mechanisms', 'Dynamics']",0.653,7,1.752,5.662,6.519,1.905,8.789,6.365,7.339,3.593,2.36,2.572,3.286,2.933,2.879,2.773
"['Materials', 'Structures', 'Thermofluids', 'Instrumentation', 'Dynamics', 'Mechanisms']",0.653,6,1.654,5.944,6.42,1.989,8.592,6.365,7.339,3.297,2.164,2.853,3.567,2.736,2.963,2.759
"['Materials', 'Instrumentation', 'Structures', 'Mechanisms', 'Dynamics', 'Thermofluids']",0.652,8,2.471,7.014,5.501,2.805,9.155,5.466,5.796,3.332,1.849,3.065,2.902,3.395,3.136,2.677
"['Materials', 'Instrumentation', 'Dynamics', 'Structures', 'Mechanisms', 'Thermofluids']",0.652,9,2.096,7.742,5.127,3.503,8.646,5.466,5.317,2.688,1.1,4.032,3.63,2.646,3.354,2.761
"['Materials', 'Instrumentation', 'Mechanisms', 'Structures', 'Dynamics', 'Thermofluids']",0.651,9,2.435,6.774,5.465,3.213,9.323,5.466,5.317,3.704,1.777,3.065,2.662,3.323,3.064,2.809
"['Materials', 'Structures', 'Instrumentation', 'Thermofluids', 'Mechanisms', 'Dynamics']",0.651,7,2.123,6.218,6.122,1.984,8.974,5.862,6.943,3.381,2.36,2.545,3.074,3.303,3.064,2.773
"['Materials', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Structures', 'Thermofluids']",0.651,9,2.072,7.583,5.103,3.773,8.757,5.466,5.0,2.934,1.052,4.032,3.471,2.599,3.306,2.848
"['Materials', 'Structures', 'Instrumentation', 'Thermofluids', 'Dynamics', 'Mechanisms']",0.651,7,2.024,6.499,6.023,2.068,8.777,5.862,6.943,3.086,2.164,2.826,3.356,3.106,3.148,2.759
"['Materials', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Structures', 'Thermofluids']",0.65,8,2.276,7.001,5.307,3.598,9.164,5.466,5.0,3.545,1.46,3.451,2.889,3.006,3.132,2.877
"['Materials', 'Dynamics', 'Thermofluids', 'Instrumentation', 'Structures', 'Mechanisms']",0.65,9,0.865,7.071,5.631,3.905,7.803,6.365,5.761,2.509,0.586,4.769,4.694,1.158,3.301,3.097
"['Materials', 'Dynamics', 'Thermofluids', 'Instrumentation', 'Mechanisms', 'Structures']",0.649,9,0.848,6.955,5.614,4.102,7.884,6.365,5.53,2.688,0.551,4.769,4.578,1.123,3.267,3.16
"['Materials', 'Dynamics', 'Instrumentation', 'Thermofluids', 'Structures', 'Mechanisms']",0.648,9,1.235,7.626,5.235,3.984,7.988,5.862,5.365,2.297,0.586,4.742,4.483,1.528,3.487,3.097
"['Materials', 'Dynamics', 'Instrumentation', 'Thermofluids', 'Mechanisms', 'Structures']",0.648,9,1.218,7.51,5.217,4.181,8.069,5.862,5.133,2.477,0.551,4.742,4.367,1.493,3.452,3.16
"['Materials', 'Mechanisms', 'Thermofluids', 'Instrumentation', 'Structures', 'Dynamics']",0.647,7,1.634,4.874,6.4,3.246,9.341,6.365,5.761,4.816,2.124,2.572,2.497,2.696,2.642,3.207
"['Materials', 'Mechanisms', 'Thermofluids', 'Instrumentation', 'Dynamics', 'Structures']",0.646,7,1.518,5.039,6.284,3.527,9.225,6.365,5.53,4.7,1.892,2.853,2.663,2.464,2.692,3.256
"['Materials', 'Mechanisms', 'Instrumentation', 'Thermofluids', 'Structures', 'Dynamics']",0.645,7,2.004,5.429,6.004,3.325,9.526,5.862,5.365,4.604,2.124,2.545,2.285,3.066,2.827,3.207
"['Materials', 'Structures', 'Thermofluids', 'Dynamics', 'Instrumentation', 'Mechanisms']",0.645,6,1.409,5.961,6.297,2.129,8.469,6.12,7.217,3.052,2.164,2.87,3.707,2.49,3.226,3.144
"['Materials', 'Mechanisms', 'Instrumentation', 'Thermofluids', 'Dynamics', 'Structures']",0.644,6,1.888,5.594,5.888,3.606,9.41,5.862,5.133,4.488,1.892,2.826,2.451,2.834,2.877,3.256
"['Materials', 'Structures', 'Thermofluids', 'Mechanisms', 'Instrumentation', 'Dynamics']",0.644,6,1.642,5.295,6.531,1.929,8.936,6.12,7.217,3.752,2.63,2.204,3.041,2.957,3.026,3.177
"['Materials', 'Dynamics', 'Thermofluids', 'Structures', 'Instrumentation', 'Mechanisms']",0.643,8,0.778,6.862,5.667,3.66,7.839,6.12,5.956,2.422,0.903,4.401,4.608,1.23,3.496,3.414
"['Materials', 'Structures', 'Instrumentation', 'Dynamics', 'Thermofluids', 'Mechanisms']",0.642,7,2.024,6.884,5.638,2.261,8.777,5.284,6.557,2.701,2.164,2.826,3.356,3.106,3.534,3.144
"['Materials', 'Structures', 'Instrumentation', 'Mechanisms', 'Thermofluids', 'Dynamics']",0.641,8,2.257,6.218,5.871,2.061,9.244,5.284,6.557,3.401,2.63,2.16,2.689,3.573,3.334,3.177
"['Materials', 'Dynamics', 'Thermofluids', 'Mechanisms', 'Instrumentation', 'Structures']",0.641,8,0.737,6.587,5.626,4.126,8.031,6.12,5.407,2.848,0.821,4.401,4.333,1.148,3.414,3.565
"['Materials', 'Mechanisms', 'Thermofluids', 'Structures', 'Instrumentation', 'Dynamics']",0.64,6,1.547,4.664,6.436,3.0,9.377,6.12,5.956,4.729,2.441,2.204,2.41,2.768,2.837,3.524
"['Materials', 'Dynamics', 'Instrumentation', 'Structures', 'Thermofluids', 'Mechanisms']",0.64,8,1.394,7.785,5.008,3.792,8.147,5.284,5.297,2.07,0.903,4.357,4.256,1.846,3.804,3.414
"['Materials', 'Structures', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Instrumentation']",0.639,6,1.463,5.307,6.441,2.031,8.847,5.941,7.127,3.573,2.63,2.217,3.143,2.778,3.218,3.459
"['Materials', 'Structures', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Instrumentation']",0.639,5,1.328,5.693,6.306,2.147,8.577,5.941,7.127,3.169,2.36,2.602,3.528,2.508,3.334,3.439
"['Materials', 'Dynamics', 'Instrumentation', 'Mechanisms', 'Thermofluids', 'Structures']",0.638,9,1.353,7.51,4.967,4.258,8.339,5.284,4.748,2.496,0.821,4.357,3.981,1.763,3.722,3.565
"['Materials', 'Mechanisms', 'Thermofluids', 'Dynamics', 'Instrumentation', 'Structures']",0.638,7,1.273,5.057,6.162,3.667,9.103,6.12,5.407,4.455,1.892,2.87,2.803,2.219,2.955,3.642
"['Materials', 'Dynamics', 'Thermofluids', 'Structures', 'Mechanisms', 'Instrumentation']",0.637,7,0.698,6.593,5.676,3.678,7.947,5.941,5.867,2.538,1.1,4.132,4.429,1.248,3.604,3.71
"['Materials', 'Mechanisms', 'Instrumentation', 'Structures', 'Thermofluids', 'Dynamics']",0.636,7,2.163,5.588,5.777,3.132,9.685,5.284,5.297,4.377,2.441,2.16,2.059,3.384,3.145,3.524
"['Materials', 'Dynamics', 'Thermofluids', 'Mechanisms', 'Structures', 'Instrumentation']",0.636,7,0.674,6.434,5.652,3.947,8.058,5.941,5.549,2.784,1.052,4.132,4.27,1.2,3.556,3.797
"['Materials', 'Structures', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Thermofluids']",0.635,7,2.257,6.499,5.59,2.202,9.244,4.862,6.276,3.119,2.63,2.16,2.689,3.573,3.615,3.459
"['Materials', 'Structures', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Thermofluids']",0.635,6,2.123,6.884,5.455,2.317,8.974,4.862,6.276,2.715,2.36,2.545,3.074,3.303,3.731,3.439
"['Materials', 'Mechanisms', 'Instrumentation', 'Dynamics', 'Thermofluids', 'Structures']",0.635,7,1.888,5.98,5.502,3.799,9.41,5.284,4.748,4.103,1.892,2.826,2.451,2.834,3.262,3.642
"['Materials', 'Mechanisms', 'Thermofluids', 'Structures', 'Dynamics', 'Instrumentation']",0.634,6,1.368,4.677,6.347,3.103,9.288,5.941,5.867,4.55,2.441,2.217,2.513,2.589,3.029,3.805
"['Materials', 'Dynamics', 'Instrumentation', 'Structures', 'Mechanisms', 'Thermofluids']",0.633,8,1.492,7.785,4.825,3.848,8.344,4.862,5.015,2.084,1.1,4.076,3.975,2.042,4.001,3.71
"['Materials', 'Mechanisms', 'Thermofluids', 'Dynamics', 'Structures', 'Instrumentation']",0.633,6,1.21,4.904,6.188,3.488,9.129,5.941,5.549,4.391,2.124,2.602,2.739,2.272,3.097,3.873
"['Materials', 'Dynamics', 'Instrumentation', 'Mechanisms', 'Structures', 'Thermofluids']",0.632,9,1.469,7.626,4.801,4.118,8.455,4.862,4.698,2.33,1.052,4.076,3.816,1.995,3.953,3.797
"['Materials', 'Structures', 'Dynamics', 'Thermofluids', 'Instrumentation', 'Mechanisms']",0.632,7,1.409,6.543,5.716,2.42,8.469,5.247,6.635,2.47,2.164,2.87,3.707,2.49,3.808,3.726
"['Materials', 'Structures', 'Dynamics', 'Instrumentation', 'Thermofluids', 'Mechanisms']",0.631,7,1.654,6.911,5.453,2.473,8.592,4.914,6.372,2.33,2.164,2.853,3.567,2.736,3.93,3.726
"['Materials', 'Mechanisms', 'Instrumentation', 'Structures', 'Dynamics', 'Thermofluids']",0.63,7,2.163,5.869,5.496,3.273,9.685,4.862,5.015,4.096,2.441,2.16,2.059,3.384,3.426,3.805
"['Materials', 'Structures', 'Mechanisms', 'Thermofluids', 'Instrumentation', 'Dynamics']",0.63,5,1.846,5.295,6.153,2.046,9.343,5.247,6.635,3.781,3.037,1.622,2.459,3.364,3.433,3.788
"['Materials', 'Dynamics', 'Structures', 'Thermofluids', 'Instrumentation', 'Mechanisms']",0.63,7,1.018,7.101,5.325,3.369,8.079,5.247,5.854,2.08,1.382,3.819,4.265,1.709,3.975,3.893
"['Materials', 'Structures', 'Mechanisms', 'Instrumentation', 'Thermofluids', 'Dynamics']",0.629,6,2.091,5.662,5.89,2.098,9.466,4.914,6.372,3.641,3.037,1.604,2.319,3.61,3.556,3.788
"['Materials', 'Mechanisms', 'Instrumentation', 'Dynamics', 'Structures', 'Thermofluids']",0.629,7,2.004,6.096,5.337,3.658,9.526,4.862,4.698,3.937,2.124,2.545,2.285,3.066,3.494,3.873
"['Materials', 'Dynamics', 'Structures', 'Instrumentation', 'Thermofluids', 'Mechanisms']",0.629,7,1.263,7.469,5.062,3.421,8.201,4.914,5.591,1.94,1.382,3.802,4.125,1.954,4.098,3.893
"['Materials', 'Mechanisms', 'Structures', 'Thermofluids', 'Instrumentation', 'Dynamics']",0.627,5,1.787,4.904,6.094,2.71,9.617,5.247,5.854,4.387,2.92,1.622,2.068,3.247,3.316,4.003
