Permutation,SkewScore,SatisfiedPairs,DMT12,DMT4,DMT5,DMT15,DMT9,DMT10,DMT6,DMT11,DMT1,DMT3,DMT13,DMT8,DMT2,DMT14
"['Instrumentation', 'Materials', 'Thermofluids', 'Structures', 'Dynamics', 'Mechanisms']",0.611,9,3.049,6.906,5.357,4.014,6.083,6.945,5.646,4.693,0.903,5.891,4.962,3.501,2.715,1.498
"['Instrumentation', 'Materials', 'Thermofluids', 'Dynamics', 'Structures', 'Mechanisms']",0.611,9,2.89,7.133,5.198,4.4,5.925,6.945,5.328,4.534,0.586,6.276,5.189,3.183,2.783,1.566
"['Materials', 'Mechanisms', 'Structures', 'Dynamics', 'Instrumentation', 'Thermofluids']",0.611,6,1.787,5.571,5.427,3.043,9.617,4.247,5.187,3.72,2.92,1.622,2.068,3.247,3.983,4.67
"['Materials', 'Dynamics', 'Mechanisms', 'Structures', 'Instrumentation', 'Thermofluids']",0.611,6,1.215,6.862,4.856,3.909,8.713,4.247,4.708,2.484,1.777,3.152,3.359,2.104,4.37,4.725
"['Instrumentation', 'Materials', 'Thermofluids', 'Mechanisms', 'Structures', 'Dynamics']",0.61,9,3.124,6.466,5.432,4.2,6.391,6.945,5.328,5.234,1.052,5.609,4.522,3.65,2.583,1.6
"['Instrumentation', 'Materials', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Structures']",0.61,9,2.873,7.017,5.181,4.597,6.006,6.945,5.097,4.713,0.551,6.276,5.073,3.148,2.749,1.63
"['Materials', 'Mechanisms', 'Dynamics', 'Structures', 'Instrumentation', 'Thermofluids']",0.61,6,1.547,5.913,5.188,3.625,9.377,4.247,4.708,3.481,2.441,2.204,2.41,2.768,4.085,4.772
"['Materials', 'Mechanisms', 'Dynamics', 'Structures', 'Thermofluids', 'Instrumentation']",0.61,6,1.368,5.644,5.38,3.586,9.288,4.49,4.9,3.583,2.441,2.217,2.513,2.589,3.996,4.772
"['Instrumentation', 'Materials', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Structures']",0.609,8,3.008,6.631,5.316,4.481,6.275,6.945,5.097,5.118,0.821,5.891,4.688,3.418,2.633,1.649
"['Thermofluids', 'Materials', 'Structures', 'Instrumentation', 'Dynamics', 'Mechanisms']",0.609,6,1.263,4.108,7.185,3.289,5.31,8.821,7.713,5.508,1.382,5.454,5.777,1.954,2.182,1.977
"['Thermofluids', 'Materials', 'Structures', 'Instrumentation', 'Mechanisms', 'Dynamics']",0.608,7,1.362,3.826,7.283,3.205,5.507,8.821,7.713,5.803,1.579,5.172,5.496,2.151,2.098,1.991
"['Thermofluids', 'Materials', 'Dynamics', 'Instrumentation', 'Structures', 'Mechanisms']",0.607,7,0.865,4.676,6.786,4.257,4.912,8.821,6.917,5.109,0.586,6.421,6.346,1.158,2.353,2.148
"['Thermofluids', 'Materials', 'Dynamics', 'Instrumentation', 'Mechanisms', 'Structures']",0.606,7,0.848,4.561,6.769,4.454,4.993,8.821,6.685,5.289,0.551,6.421,6.23,1.123,2.318,2.212
"['Thermofluids', 'Materials', 'Mechanisms', 'Instrumentation', 'Structures', 'Dynamics']",0.605,7,1.302,3.428,7.223,3.882,5.786,8.821,6.917,6.42,1.46,5.172,5.098,2.032,1.978,2.21
"['Thermofluids', 'Materials', 'Mechanisms', 'Instrumentation', 'Dynamics', 'Structures']",0.605,6,1.186,3.594,7.108,4.163,5.67,8.821,6.685,6.304,1.228,5.454,5.263,1.8,2.028,2.26
"['Thermofluids', 'Materials', 'Structures', 'Dynamics', 'Instrumentation', 'Mechanisms']",0.601,6,1.018,4.125,7.062,3.43,5.188,8.575,7.591,5.262,1.382,5.471,5.918,1.709,2.445,2.363
"['Thermofluids', 'Materials', 'Structures', 'Mechanisms', 'Instrumentation', 'Dynamics']",0.6,5,1.251,3.458,7.295,3.23,5.654,8.575,7.591,5.962,1.849,4.805,5.251,2.176,2.245,2.396
"['Thermofluids', 'Materials', 'Dynamics', 'Structures', 'Instrumentation', 'Mechanisms']",0.6,6,0.778,4.467,6.823,4.011,4.948,8.575,7.111,5.023,0.903,6.053,6.26,1.23,2.547,2.465
"['Instrumentation', 'Materials', 'Structures', 'Thermofluids', 'Mechanisms', 'Dynamics']",0.599,10,3.387,6.864,5.113,3.639,6.52,6.072,5.543,4.646,1.579,5.028,4.339,4.177,3.11,1.991
"['Instrumentation', 'Materials', 'Structures', 'Thermofluids', 'Dynamics', 'Mechanisms']",0.599,10,3.289,7.145,5.015,3.723,6.323,6.072,5.543,4.35,1.382,5.309,4.62,3.98,3.195,1.977
"['Thermofluids', 'Materials', 'Mechanisms', 'Structures', 'Instrumentation', 'Dynamics']",0.598,5,1.215,3.219,7.26,3.637,5.822,8.575,7.111,6.334,1.777,4.805,5.011,2.104,2.173,2.528
"['Thermofluids', 'Materials', 'Dynamics', 'Mechanisms', 'Instrumentation', 'Structures']",0.598,6,0.737,4.193,6.781,4.478,5.14,8.575,6.562,5.448,0.821,6.053,5.985,1.148,2.465,2.616
"['Instrumentation', 'Materials', 'Dynamics', 'Thermofluids', 'Structures', 'Mechanisms']",0.597,7,2.89,7.714,4.616,4.691,5.925,6.072,4.747,3.952,0.586,6.276,5.189,3.183,3.365,2.148
"['Instrumentation', 'Materials', 'Dynamics', 'Thermofluids', 'Mechanisms', 'Structures']",0.597,7,2.873,7.598,4.599,4.888,6.006,6.072,4.515,4.132,0.551,6.276,5.073,3.148,3.331,2.212
"['Thermofluids', 'Materials', 'Mechanisms', 'Dynamics', 'Instrumentation', 'Structures']",0.597,6,0.941,3.611,6.985,4.304,5.547,8.575,6.562,6.059,1.228,5.471,5.403,1.555,2.291,2.645
"['Instrumentation', 'Materials', 'Mechanisms', 'Thermofluids', 'Structures', 'Dynamics']",0.596,8,3.327,6.466,5.053,4.316,6.798,6.072,4.747,5.263,1.46,5.028,3.941,4.057,2.991,2.21
"['Instrumentation', 'Materials', 'Mechanisms', 'Thermofluids', 'Dynamics', 'Structures']",0.595,9,3.211,6.631,4.938,4.597,6.683,6.072,4.515,5.147,1.228,5.309,4.106,3.825,3.04,2.26
"['Thermofluids', 'Materials', 'Structures', 'Mechanisms', 'Dynamics', 'Instrumentation']",0.595,5,1.072,3.471,7.206,3.332,5.565,8.396,7.501,5.783,1.849,4.817,5.353,1.997,2.437,2.677
"['Thermofluids', 'Materials', 'Structures', 'Dynamics', 'Mechanisms', 'Instrumentation']",0.595,5,0.937,3.857,7.071,3.448,5.295,8.396,7.501,5.379,1.579,5.203,5.738,1.727,2.552,2.658
"['Thermofluids', 'Materials', 'Dynamics', 'Structures', 'Mechanisms', 'Instrumentation']",0.594,5,0.698,4.199,6.832,4.029,5.055,8.396,7.022,5.139,1.1,5.784,6.081,1.248,2.655,2.761
"['Thermofluids', 'Materials', 'Mechanisms', 'Structures', 'Dynamics', 'Instrumentation']",0.593,5,1.036,3.232,7.17,3.739,5.732,8.396,7.022,6.155,1.777,4.817,5.114,1.925,2.365,2.809
"['Thermofluids', 'Materials', 'Dynamics', 'Mechanisms', 'Structures', 'Instrumentation']",0.593,5,0.674,4.04,6.808,4.299,5.167,8.396,6.705,5.385,1.052,5.784,5.922,1.2,2.607,2.848
"['Thermofluids', 'Materials', 'Mechanisms', 'Dynamics', 'Structures', 'Instrumentation']",0.592,5,0.878,3.458,7.011,4.124,5.574,8.396,6.705,5.996,1.46,5.203,5.34,1.608,2.433,2.877
"['Instrumentation', 'Materials', 'Structures', 'Dynamics', 'Thermofluids', 'Mechanisms']",0.591,10,3.289,7.531,4.629,3.916,6.323,5.494,5.158,3.965,1.382,5.309,4.62,3.98,3.58,2.363
"['Instrumentation', 'Materials', 'Structures', 'Mechanisms', 'Thermofluids', 'Dynamics']",0.59,9,3.522,6.864,4.863,3.716,6.789,5.494,5.158,4.665,1.849,4.642,3.953,4.446,3.38,2.396
"['Instrumentation', 'Materials', 'Dynamics', 'Structures', 'Thermofluids', 'Mechanisms']",0.589,8,3.049,7.873,4.39,4.498,6.083,5.494,4.679,3.725,0.903,5.891,4.962,3.501,3.683,2.465
"['Instrumentation', 'Materials', 'Mechanisms', 'Structures', 'Thermofluids', 'Dynamics']",0.588,8,3.486,6.624,4.827,4.123,6.957,5.494,4.679,5.036,1.777,4.642,3.714,4.374,3.308,2.528
"['Instrumentation', 'Materials', 'Dynamics', 'Mechanisms', 'Thermofluids', 'Structures']",0.587,7,3.008,7.598,4.349,4.965,6.275,5.494,4.13,4.151,0.821,5.891,4.688,3.418,3.6,2.616
"['Instrumentation', 'Materials', 'Mechanisms', 'Dynamics', 'Thermofluids', 'Structures']",0.586,8,3.211,7.017,4.552,4.79,6.683,5.494,4.13,4.762,1.228,5.309,4.106,3.825,3.426,2.645
"['Instrumentation', 'Materials', 'Structures', 'Dynamics', 'Mechanisms', 'Thermofluids']",0.584,10,3.387,7.531,4.446,3.972,6.52,5.072,4.876,3.979,1.579,5.028,4.339,4.177,3.777,2.658
"['Instrumentation', 'Materials', 'Structures', 'Mechanisms', 'Dynamics', 'Thermofluids']",0.583,9,3.522,7.145,4.581,3.857,6.789,5.072,4.876,4.384,1.849,4.642,3.953,4.446,3.661,2.677
"['Instrumentation', 'Materials', 'Dynamics', 'Structures', 'Mechanisms', 'Thermofluids']",0.582,8,3.147,7.873,4.207,4.554,6.28,5.072,4.397,3.74,1.1,5.609,4.681,3.698,3.88,2.761
"['Thermofluids', 'Instrumentation', 'Materials', 'Structures', 'Dynamics', 'Mechanisms']",0.582,9,1.998,4.499,6.602,4.263,3.897,8.964,6.891,6.242,0.903,6.915,6.512,2.449,2.19,1.498
"['Instrumentation', 'Materials', 'Mechanisms', 'Structures', 'Dynamics', 'Thermofluids']",0.581,8,3.486,6.906,4.545,4.264,6.957,5.072,4.397,4.755,1.777,4.642,3.714,4.374,3.589,2.809
"['Instrumentation', 'Materials', 'Dynamics', 'Mechanisms', 'Structures', 'Thermofluids']",0.581,8,3.124,7.714,4.183,4.824,6.391,5.072,4.08,3.985,1.052,5.609,4.522,3.65,3.832,2.848
"['Thermofluids', 'Instrumentation', 'Materials', 'Structures', 'Mechanisms', 'Dynamics']",0.581,9,2.096,4.217,6.7,4.179,4.094,8.964,6.891,6.537,1.1,6.633,6.23,2.646,2.105,1.512
"['Thermofluids', 'Instrumentation', 'Materials', 'Dynamics', 'Structures', 'Mechanisms']",0.581,8,1.839,4.725,6.443,4.649,3.739,8.964,6.574,6.083,0.586,7.3,6.738,2.132,2.258,1.566
"['Instrumentation', 'Materials', 'Mechanisms', 'Dynamics', 'Structures', 'Thermofluids']",0.58,7,3.327,7.133,4.387,4.649,6.798,5.072,4.08,4.596,1.46,5.028,3.941,4.057,3.657,2.877
"['Thermofluids', 'Instrumentation', 'Materials', 'Mechanisms', 'Structures', 'Dynamics']",0.58,8,2.072,4.059,6.677,4.449,4.205,8.964,6.574,6.783,1.052,6.633,6.072,2.599,2.058,1.6
"['Thermofluids', 'Instrumentation', 'Materials', 'Dynamics', 'Mechanisms', 'Structures']",0.58,8,1.822,4.61,6.426,4.846,3.82,8.964,6.342,6.263,0.551,7.3,6.623,2.097,2.223,1.63
"['Thermofluids', 'Instrumentation', 'Materials', 'Mechanisms', 'Dynamics', 'Structures']",0.579,8,1.956,4.224,6.561,4.73,4.09,8.964,6.342,6.668,0.821,6.915,6.237,2.367,2.108,1.649
"['Instrumentation', 'Thermofluids', 'Materials', 'Structures', 'Dynamics', 'Mechanisms']",0.577,10,3.049,6.076,5.475,4.489,4.423,7.538,5.764,5.641,0.903,6.839,5.911,3.501,2.715,1.498
"['Instrumentation', 'Thermofluids', 'Materials', 'Structures', 'Mechanisms', 'Dynamics']",0.576,8,3.147,5.794,5.574,4.404,4.62,7.538,5.764,5.937,1.1,6.558,5.63,3.698,2.631,1.512
"['Instrumentation', 'Thermofluids', 'Materials', 'Dynamics', 'Structures', 'Mechanisms']",0.576,9,2.89,6.302,5.317,4.874,4.264,7.538,5.447,5.483,0.586,7.225,6.138,3.183,2.783,1.566
"['Instrumentation', 'Thermofluids', 'Materials', 'Mechanisms', 'Structures', 'Dynamics']",0.575,8,3.124,5.636,5.55,4.674,4.731,7.538,5.447,6.183,1.052,6.558,5.471,3.65,2.583,1.6
"['Instrumentation', 'Thermofluids', 'Materials', 'Mechanisms', 'Dynamics', 'Structures']",0.575,9,3.008,5.801,5.434,4.955,4.615,7.538,5.215,6.067,0.821,6.839,5.636,3.418,2.633,1.649
"['Instrumentation', 'Thermofluids', 'Materials', 'Dynamics', 'Mechanisms', 'Structures']",0.575,9,2.873,6.187,5.299,5.071,4.345,7.538,5.215,5.662,0.551,7.225,6.022,3.148,2.749,1.63
"['Thermofluids', 'Structures', 'Materials', 'Instrumentation', 'Dynamics', 'Mechanisms']",0.555,6,1.654,3.668,6.745,3.289,4.041,7.99,7.664,5.898,2.164,5.454,6.168,2.736,2.963,2.759
"['Structures', 'Materials', 'Thermofluids', 'Instrumentation', 'Mechanisms', 'Dynamics']",0.554,7,2.433,4.897,5.753,1.905,6.578,4.919,7.254,4.273,3.721,2.572,3.966,4.293,4.24,4.133
"['Structures', 'Materials', 'Thermofluids', 'Instrumentation', 'Dynamics', 'Mechanisms']",0.554,7,2.334,5.178,5.655,1.989,6.381,4.919,7.254,3.978,3.524,2.853,4.247,4.096,4.324,4.119
"['Thermofluids', 'Structures', 'Materials', 'Instrumentation', 'Mechanisms', 'Dynamics']",0.554,7,1.752,3.387,6.844,3.205,4.238,7.99,7.664,6.194,2.36,5.172,5.887,2.933,2.879,2.773
"['Structures', 'Materials', 'Instrumentation', 'Thermofluids', 'Mechanisms', 'Dynamics']",0.552,8,2.803,5.452,5.356,1.984,6.763,4.417,6.858,4.062,3.721,2.545,3.754,4.663,4.425,4.133
"['Structures', 'Materials', 'Instrumentation', 'Thermofluids', 'Dynamics', 'Mechanisms']",0.552,7,2.704,5.734,5.258,2.068,6.566,4.417,6.858,3.766,3.524,2.826,4.036,4.466,4.509,4.119
"['Thermofluids', 'Dynamics', 'Materials', 'Instrumentation', 'Structures', 'Mechanisms']",0.55,8,0.865,4.795,5.956,5.205,3.252,7.99,6.087,5.109,0.586,7.37,7.295,1.158,3.301,3.097
"['Thermofluids', 'Instrumentation', 'Structures', 'Materials', 'Mechanisms', 'Dynamics']",0.549,9,2.336,3.948,6.431,4.179,3.316,8.455,6.861,6.777,1.579,6.633,6.47,3.125,2.585,1.991
"['Thermofluids', 'Instrumentation', 'Structures', 'Materials', 'Dynamics', 'Mechanisms']",0.549,9,2.237,4.229,6.332,4.263,3.119,8.455,6.861,6.482,1.382,6.915,6.751,2.928,2.669,1.977
"['Thermofluids', 'Dynamics', 'Materials', 'Instrumentation', 'Mechanisms', 'Structures']",0.549,8,0.848,4.679,5.939,5.402,3.333,7.99,5.855,5.289,0.551,7.37,7.179,1.123,3.267,3.16
"['Thermofluids', 'Mechanisms', 'Materials', 'Instrumentation', 'Structures', 'Dynamics']",0.548,6,1.634,2.598,6.725,4.546,4.79,7.99,6.087,7.416,2.124,5.172,5.098,2.696,2.642,3.207
"['Thermofluids', 'Instrumentation', 'Dynamics', 'Materials', 'Structures', 'Mechanisms']",0.547,7,1.839,4.798,5.934,5.231,2.721,8.455,6.064,6.083,0.586,7.882,7.32,2.132,2.84,2.148
"['Thermofluids', 'Mechanisms', 'Materials', 'Instrumentation', 'Dynamics', 'Structures']",0.547,6,1.518,2.763,6.61,4.827,4.674,7.99,5.855,7.301,1.892,5.454,5.263,2.464,2.692,3.256
"['Thermofluids', 'Structures', 'Materials', 'Dynamics', 'Instrumentation', 'Mechanisms']",0.547,6,1.409,3.686,6.623,3.43,3.918,7.745,7.542,5.653,2.164,5.471,6.308,2.49,3.226,3.144
"['Instrumentation', 'Structures', 'Materials', 'Thermofluids', 'Dynamics', 'Mechanisms']",0.546,8,3.679,6.706,4.575,3.723,5.053,5.242,5.494,4.741,2.164,5.309,5.011,4.761,3.976,2.759
"['Thermofluids', 'Instrumentation', 'Mechanisms', 'Materials', 'Structures', 'Dynamics']",0.546,8,2.276,3.55,6.371,4.856,3.595,8.455,6.064,7.394,1.46,6.633,6.072,3.006,2.465,2.21
"['Structures', 'Materials', 'Thermofluids', 'Dynamics', 'Instrumentation', 'Mechanisms']",0.546,7,2.089,5.196,5.532,2.129,6.258,4.674,7.132,3.732,3.524,2.87,4.388,3.851,4.587,4.505
"['Thermofluids', 'Instrumentation', 'Dynamics', 'Materials', 'Mechanisms', 'Structures']",0.546,7,1.822,4.682,5.917,5.427,2.802,8.455,5.833,6.263,0.551,7.882,7.204,2.097,2.805,2.212
"['Thermofluids', 'Structures', 'Materials', 'Mechanisms', 'Instrumentation', 'Dynamics']",0.546,5,1.642,3.019,6.856,3.23,4.385,7.745,7.542,6.353,2.63,4.805,5.641,2.957,3.026,3.177
"['Instrumentation', 'Structures', 'Materials', 'Thermofluids', 'Mechanisms', 'Dynamics']",0.545,8,3.778,6.425,4.674,3.639,5.25,5.242,5.494,5.036,2.36,5.028,4.729,4.958,3.891,2.773
"['Instrumentation', 'Thermofluids', 'Structures', 'Materials', 'Mechanisms', 'Dynamics']",0.545,9,3.387,5.525,5.304,4.404,3.841,7.029,5.734,6.176,1.579,6.558,5.869,4.177,3.11,1.991
"['Instrumentation', 'Thermofluids', 'Structures', 'Materials', 'Dynamics', 'Mechanisms']",0.545,9,3.289,5.806,5.206,4.489,3.644,7.029,5.734,5.881,1.382,6.839,6.151,3.98,3.195,1.977
"['Structures', 'Materials', 'Thermofluids', 'Mechanisms', 'Instrumentation', 'Dynamics']",0.545,5,2.322,4.529,5.765,1.929,6.725,4.674,7.132,4.432,3.991,2.204,3.721,4.318,4.387,4.538
"['Thermofluids', 'Instrumentation', 'Mechanisms', 'Materials', 'Dynamics', 'Structures']",0.545,8,2.16,3.715,6.255,5.137,3.479,8.455,5.833,7.278,1.228,6.915,6.237,2.774,2.515,2.26
"['Dynamics', 'Materials', 'Thermofluids', 'Instrumentation', 'Structures', 'Mechanisms']",0.545,8,0.865,7.277,4.186,5.557,4.912,4.919,4.316,2.509,0.586,6.421,6.346,1.158,4.954,4.749
"['Dynamics', 'Materials', 'Thermofluids', 'Instrumentation', 'Mechanisms', 'Structures']",0.544,9,0.848,7.161,4.168,5.754,4.993,4.919,4.084,2.688,0.551,6.421,6.23,1.123,4.919,4.813
"['Instrumentation', 'Thermofluids', 'Dynamics', 'Materials', 'Structures', 'Mechanisms']",0.543,7,2.89,6.375,4.808,5.456,3.246,7.029,4.938,5.483,0.586,7.806,6.719,3.183,3.365,2.148
"['Structures', 'Materials', 'Instrumentation', 'Dynamics', 'Thermofluids', 'Mechanisms']",0.543,6,2.704,6.119,4.873,2.261,6.566,3.839,6.472,3.381,3.524,2.826,4.036,4.466,4.894,4.505
"['Dynamics', 'Materials', 'Instrumentation', 'Thermofluids', 'Structures', 'Mechanisms']",0.543,9,1.235,7.833,3.789,5.636,5.097,4.417,3.919,2.297,0.586,6.394,6.135,1.528,5.139,4.749
"['Thermofluids', 'Dynamics', 'Materials', 'Structures', 'Instrumentation', 'Mechanisms']",0.543,7,0.778,4.586,5.992,4.96,3.288,7.745,6.281,5.023,0.903,7.002,7.208,1.23,3.496,3.414
"['Structures', 'Materials', 'Instrumentation', 'Mechanisms', 'Thermofluids', 'Dynamics']",0.542,8,2.938,5.452,5.106,2.061,7.033,3.839,6.472,4.081,3.991,2.16,3.369,4.933,4.694,4.538
"['Instrumentation', 'Thermofluids', 'Dynamics', 'Materials', 'Mechanisms', 'Structures']",0.542,7,2.873,6.259,4.79,5.653,3.327,7.029,4.706,5.662,0.551,7.806,6.604,3.148,3.331,2.212
"['Dynamics', 'Materials', 'Instrumentation', 'Thermofluids', 'Mechanisms', 'Structures']",0.542,9,1.218,7.717,3.772,5.833,5.178,4.417,3.688,2.477,0.551,6.394,6.019,1.493,5.104,4.813
"['Instrumentation', 'Thermofluids', 'Mechanisms', 'Materials', 'Structures', 'Dynamics']",0.541,8,3.327,5.127,5.245,5.081,4.12,7.029,4.938,6.793,1.46,6.558,5.471,4.057,2.991,2.21
"['Instrumentation', 'Thermofluids', 'Mechanisms', 'Materials', 'Dynamics', 'Structures']",0.541,8,3.211,5.292,5.129,5.363,4.004,7.029,4.706,6.678,1.228,6.839,5.636,3.825,3.04,2.26
"['Instrumentation', 'Dynamics', 'Materials', 'Thermofluids', 'Structures', 'Mechanisms']",0.541,7,2.89,7.833,3.786,5.639,4.264,5.242,3.917,3.952,0.586,7.225,6.138,3.183,4.314,3.097
"['Mechanisms', 'Materials', 'Thermofluids', 'Instrumentation', 'Structures', 'Dynamics']",0.541,7,2.212,3.428,5.533,4.402,7.606,4.919,4.316,6.55,3.28,2.572,2.497,3.852,3.799,4.941
"['Thermofluids', 'Mechanisms', 'Materials', 'Structures', 'Instrumentation', 'Dynamics']",0.541,4,1.547,2.389,6.761,4.301,4.826,7.745,6.281,7.33,2.441,4.805,5.011,2.768,2.837,3.524
"['Thermofluids', 'Structures', 'Materials', 'Mechanisms', 'Dynamics', 'Instrumentation']",0.541,5,1.463,3.032,6.766,3.332,4.295,7.566,7.452,6.174,2.63,4.817,5.744,2.778,3.218,3.459
"['Thermofluids', 'Structures', 'Materials', 'Dynamics', 'Mechanisms', 'Instrumentation']",0.541,5,1.328,3.417,6.632,3.448,4.025,7.566,7.452,5.769,2.36,5.203,6.129,2.508,3.334,3.439
"['Thermofluids', 'Dynamics', 'Materials', 'Mechanisms', 'Instrumentation', 'Structures']",0.541,7,0.737,4.311,5.951,5.427,3.48,7.745,5.732,5.448,0.821,7.002,6.934,1.148,3.414,3.565
"['Instrumentation', 'Dynamics', 'Materials', 'Thermofluids', 'Mechanisms', 'Structures']",0.54,7,2.873,7.717,3.769,5.836,4.345,5.242,3.685,4.132,0.551,7.225,6.022,3.148,4.279,3.16
"['Mechanisms', 'Materials', 'Thermofluids', 'Instrumentation', 'Dynamics', 'Structures']",0.54,6,2.096,3.594,5.417,4.684,7.491,4.919,4.084,6.434,3.049,2.853,2.663,3.621,3.848,4.991
"['Structures', 'Materials', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Instrumentation']",0.54,6,2.008,4.927,5.541,2.147,6.366,4.495,7.042,3.849,3.721,2.602,4.208,3.869,4.694,4.8
"['Instrumentation', 'Mechanisms', 'Materials', 'Thermofluids', 'Structures', 'Dynamics']",0.539,7,3.659,5.636,4.555,4.98,5.802,5.242,3.917,6.259,2.124,5.028,3.941,4.721,3.655,3.207
"['Mechanisms', 'Materials', 'Instrumentation', 'Thermofluids', 'Structures', 'Dynamics']",0.539,7,2.582,3.983,5.136,4.482,7.792,4.417,3.919,6.339,3.28,2.545,2.285,4.223,3.984,4.941
"['Mechanisms', 'Materials', 'Instrumentation', 'Thermofluids', 'Dynamics', 'Structures']",0.539,6,2.467,4.149,5.02,4.763,7.676,4.417,3.688,6.223,3.049,2.826,2.451,3.991,4.033,4.991
"['Structures', 'Materials', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Instrumentation']",0.539,5,2.143,4.542,5.676,2.031,6.636,4.495,7.042,4.253,3.991,2.217,3.823,4.139,4.579,4.819
"['Thermofluids', 'Mechanisms', 'Materials', 'Dynamics', 'Instrumentation', 'Structures']",0.539,6,1.273,2.781,6.487,4.968,4.551,7.745,5.732,7.055,1.892,5.471,5.403,2.219,2.955,3.642
"['Instrumentation', 'Mechanisms', 'Materials', 'Thermofluids', 'Dynamics', 'Structures']",0.538,7,3.543,5.801,4.439,5.261,5.686,5.242,3.685,6.143,1.892,5.309,4.106,4.49,3.704,3.256
"['Dynamics', 'Materials', 'Thermofluids', 'Structures', 'Instrumentation', 'Mechanisms']",0.538,8,0.778,7.068,4.222,5.312,4.948,4.674,4.511,2.422,0.903,6.053,6.26,1.23,5.148,5.066
"['Instrumentation', 'Structures', 'Materials', 'Dynamics', 'Thermofluids', 'Mechanisms']",0.537,9,3.679,7.091,4.19,3.916,5.053,4.664,5.109,4.356,2.164,5.309,5.011,4.761,4.361,3.144
"['Thermofluids', 'Dynamics', 'Materials', 'Structures', 'Mechanisms', 'Instrumentation']",0.537,6,0.698,4.317,6.001,4.978,3.395,7.566,6.192,5.139,1.1,6.733,7.029,1.248,3.604,3.71
"['Instrumentation', 'Structures', 'Materials', 'Mechanisms', 'Thermofluids', 'Dynamics']",0.536,8,3.912,6.425,4.423,3.716,5.52,4.664,5.109,5.056,2.63,4.642,4.344,5.228,4.161,3.177
"['Structures', 'Materials', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Thermofluids']",0.536,6,2.938,5.734,4.825,2.202,7.033,3.417,6.191,3.799,3.991,2.16,3.369,4.933,4.976,4.819
"['Structures', 'Materials', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Thermofluids']",0.536,6,2.803,6.119,4.69,2.317,6.763,3.417,6.191,3.395,3.721,2.545,3.754,4.663,5.091,4.8
"['Thermofluids', 'Dynamics', 'Materials', 'Mechanisms', 'Structures', 'Instrumentation']",0.536,6,0.674,4.159,5.978,5.248,3.506,7.566,5.875,5.385,1.052,6.733,6.871,1.2,3.556,3.797
"['Dynamics', 'Materials', 'Instrumentation', 'Structures', 'Thermofluids', 'Mechanisms']",0.535,8,1.394,7.991,3.562,5.444,5.256,3.839,3.851,2.07,0.903,6.009,5.908,1.846,5.456,5.066
"['Thermofluids', 'Mechanisms', 'Materials', 'Structures', 'Dynamics', 'Instrumentation']",0.535,4,1.368,2.402,6.672,4.403,4.736,7.566,6.192,7.151,2.441,4.817,5.114,2.589,3.029,3.805
"['Dynamics', 'Materials', 'Thermofluids', 'Mechanisms', 'Instrumentation', 'Structures']",0.535,8,0.737,6.794,4.181,5.778,5.14,4.674,3.962,2.848,0.821,6.053,5.985,1.148,5.066,5.217
"['Mechanisms', 'Materials', 'Thermofluids', 'Structures', 'Instrumentation', 'Dynamics']",0.534,5,2.126,3.219,5.569,4.157,7.642,4.674,4.511,6.464,3.598,2.204,2.41,3.925,3.993,5.259
"['Thermofluids', 'Mechanisms', 'Materials', 'Dynamics', 'Structures', 'Instrumentation']",0.534,5,1.21,2.628,6.513,4.789,4.578,7.566,5.875,6.992,2.124,5.203,5.34,2.272,3.097,3.873
"['Instrumentation', 'Dynamics', 'Materials', 'Structures', 'Thermofluids', 'Mechanisms']",0.533,8,3.049,7.992,3.56,5.447,4.423,4.664,3.849,3.725,0.903,6.839,5.911,3.501,4.631,3.414
"['Thermofluids', 'Structures', 'Instrumentation', 'Materials', 'Mechanisms', 'Dynamics']",0.533,8,2.123,3.433,6.52,3.575,3.405,7.852,7.34,6.564,2.36,5.728,6.257,3.303,3.064,2.773
"['Thermofluids', 'Structures', 'Instrumentation', 'Materials', 'Dynamics', 'Mechanisms']",0.533,7,2.024,3.714,6.421,3.66,3.208,7.852,7.34,6.268,2.164,6.009,6.538,3.106,3.148,2.759
"['Structures', 'Materials', 'Dynamics', 'Thermofluids', 'Instrumentation', 'Mechanisms']",0.532,7,2.089,5.778,4.95,2.42,6.258,3.801,6.55,3.151,3.524,2.87,4.388,3.851,5.168,5.086
"['Mechanisms', 'Materials', 'Thermofluids', 'Dynamics', 'Instrumentation', 'Structures']",0.532,6,1.851,3.611,5.294,4.824,7.368,4.674,3.962,6.189,3.049,2.87,2.803,3.375,4.111,5.376
"['Dynamics', 'Materials', 'Instrumentation', 'Mechanisms', 'Thermofluids', 'Structures']",0.532,9,1.353,7.717,3.521,5.91,5.448,3.839,3.302,2.496,0.821,6.009,5.634,1.763,5.374,5.217
"['Instrumentation', 'Mechanisms', 'Materials', 'Structures', 'Thermofluids', 'Dynamics']",0.531,7,3.818,5.794,4.329,4.787,5.961,4.664,3.849,6.032,2.441,4.642,3.714,5.039,3.972,3.524
