Permutation,SkewScore,SatisfiedPairs,DMT10,DMT4,DMT5,DMT6,DMT11,DMT3,DMT9,DMT12,DMT15,DMT13,DMT14,DMT8,DMT1,DMT2,DMT7
"['Materials', 'Instrumentation', 'Thermofluids', 'Structures', 'Dynamics', 'Mechanisms']",0.643,6,7.339,6.774,6.277,6.566,3.641,4.314,8.449,1.998,2.963,3.911,1.498,2.449,0.903,2.19,8.19
"['Materials', 'Thermofluids', 'Mechanisms', 'Instrumentation', 'Structures', 'Dynamics']",0.643,8,7.788,4.874,7.017,6.71,4.768,3.52,8.677,1.302,3.056,3.446,2.21,2.032,1.46,1.978,8.623
"['Thermofluids', 'Materials', 'Structures', 'Mechanisms', 'Instrumentation', 'Dynamics']",0.642,7,8.575,3.458,7.295,7.591,5.962,4.805,5.654,1.251,3.23,5.251,2.396,2.176,1.849,2.245,5.723
"['Materials', 'Instrumentation', 'Thermofluids', 'Mechanisms', 'Structures', 'Dynamics']",0.641,7,7.339,6.334,6.352,6.248,4.183,4.032,8.757,2.072,3.148,3.471,1.6,2.599,1.052,2.058,8.216
"['Materials', 'Thermofluids', 'Mechanisms', 'Instrumentation', 'Dynamics', 'Structures']",0.641,8,7.788,5.039,6.901,6.478,4.652,3.802,8.561,1.186,3.337,3.611,2.26,1.8,1.228,2.028,8.789
"['Thermofluids', 'Materials', 'Structures', 'Dynamics', 'Instrumentation', 'Mechanisms']",0.641,7,8.575,4.125,7.062,7.591,5.262,5.471,5.188,1.018,3.43,5.918,2.363,1.709,1.382,2.445,5.923
"['Materials', 'Thermofluids', 'Dynamics', 'Instrumentation', 'Structures', 'Mechanisms']",0.641,6,7.788,6.122,6.58,6.71,3.457,4.769,7.803,0.865,3.431,4.694,2.148,1.158,0.586,2.353,8.998
"['Materials', 'Instrumentation', 'Thermofluids', 'Dynamics', 'Structures', 'Mechanisms']",0.64,6,7.339,7.001,6.118,6.248,3.483,4.699,8.29,1.839,3.348,4.138,1.566,2.132,0.586,2.258,8.416
"['Materials', 'Instrumentation', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Structures']",0.639,7,7.339,6.5,6.236,6.017,4.067,4.314,8.641,1.956,3.43,3.636,1.649,2.367,0.821,2.108,8.382
"['Materials', 'Instrumentation', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Structures']",0.639,7,7.339,6.885,6.101,6.017,3.662,4.699,8.371,1.822,3.545,4.022,1.63,2.097,0.551,2.223,8.497
"['Thermofluids', 'Materials', 'Mechanisms', 'Structures', 'Instrumentation', 'Dynamics']",0.639,8,8.575,3.219,7.26,7.111,6.334,4.805,5.822,1.215,3.637,5.011,2.528,2.104,1.777,2.173,5.891
"['Materials', 'Thermofluids', 'Dynamics', 'Instrumentation', 'Mechanisms', 'Structures']",0.639,7,7.788,6.006,6.563,6.478,3.637,4.769,7.884,0.848,3.627,4.578,2.212,1.123,0.551,2.318,9.079
