Permutation,SkewScore,SatisfiedPairs,DMT10,DMT4,DMT5,DMT6,DMT11,DMT3,DMT9,DMT12,DMT15,DMT13,DMT14,DMT8,DMT1,DMT2,DMT7
"['Thermofluids', 'Instrumentation', 'Dynamics', 'Structures', 'Mechanisms', 'Materials']",0.593,6,7.872,4.374,5.608,5.798,6.537,7.882,1.91,2.096,5.427,7.479,2.761,2.646,1.1,3.354,2.617
"['Materials', 'Structures', 'Instrumentation', 'Thermofluids', 'Dynamics', 'Mechanisms']",0.593,6,5.862,6.499,6.023,6.943,3.086,2.826,8.777,2.024,2.068,3.356,2.759,3.106,2.164,3.148,8.82
"['Materials', 'Instrumentation', 'Dynamics', 'Structures', 'Thermofluids', 'Mechanisms']",0.593,6,5.888,7.742,5.31,5.599,2.674,4.314,8.449,1.998,3.447,3.911,2.465,2.449,0.903,3.157,9.157
"['Thermofluids', 'Mechanisms', 'Instrumentation', 'Materials', 'Dynamics', 'Structures']",0.593,8,7.852,2.81,6.286,5.531,7.671,6.009,3.841,1.888,5.198,5.634,3.256,2.834,1.892,2.877,3.884
"['Materials', 'Mechanisms', 'Thermofluids', 'Instrumentation', 'Dynamics', 'Structures']",0.593,8,6.365,5.039,6.284,5.53,4.7,2.853,9.225,1.518,3.527,2.663,3.256,2.464,1.892,2.692,9.453
"['Materials', 'Structures', 'Thermofluids', 'Dynamics', 'Instrumentation', 'Mechanisms']",0.593,7,6.12,5.961,6.297,7.217,3.052,2.87,8.469,1.409,2.129,3.707,3.144,2.49,2.164,3.226,9.205
"['Thermofluids', 'Dynamics', 'Instrumentation', 'Materials', 'Structures', 'Mechanisms']",0.592,7,7.852,4.841,5.632,5.763,5.48,7.925,2.419,1.235,5.576,7.665,3.097,1.528,0.586,3.487,4.377
"['Materials', 'Dynamics', 'Thermofluids', 'Instrumentation', 'Structures', 'Mechanisms']",0.592,6,6.365,7.071,5.631,5.761,2.509,4.769,7.803,0.865,3.905,4.694,3.097,1.158,0.586,3.301,9.947
"['Thermofluids', 'Dynamics', 'Materials', 'Structures', 'Instrumentation', 'Mechanisms']",0.592,7,7.745,4.586,5.992,6.281,5.023,7.002,3.288,0.778,4.96,7.208,3.414,1.23,0.903,3.496,5.554
"['Thermofluids', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Structures', 'Materials']",0.591,8,7.872,3.633,5.788,5.481,7.394,7.3,2.428,2.276,5.523,6.738,2.877,3.006,1.46,3.132,2.554
"['Thermofluids', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Structures', 'Materials']",0.591,7,7.872,4.215,5.584,5.481,6.783,7.882,2.021,2.072,5.697,7.32,2.848,2.599,1.052,3.306,2.729
"['Instrumentation', 'Materials', 'Structures', 'Thermofluids', 'Mechanisms', 'Dynamics']",0.59,5,6.072,6.864,5.113,5.543,4.646,5.028,6.52,3.387,3.639,4.339,1.991,4.177,1.579,3.11,5.453
"['Instrumentation', 'Thermofluids', 'Mechanisms', 'Materials', 'Structures', 'Dynamics']",0.59,7,7.029,5.127,5.245,4.938,6.793,6.558,4.12,3.327,5.081,5.471,2.21,4.057,1.46,2.991,3.054
"['Materials', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Thermofluids', 'Structures']",0.59,7,5.888,6.885,5.472,5.05,3.71,3.732,9.048,2.16,3.739,3.055,2.645,2.774,1.228,2.9,9.174
"['Thermofluids', 'Mechanisms', 'Materials', 'Dynamics', 'Instrumentation', 'Structures']",0.59,8,7.745,2.781,6.487,5.732,7.055,5.471,4.551,1.273,4.968,5.403,3.642,2.219,1.892,2.955,5.287
"['Thermofluids', 'Dynamics', 'Instrumentation', 'Materials', 'Mechanisms', 'Structures']",0.59,7,7.852,4.726,5.615,5.531,5.659,7.925,2.5,1.218,5.772,7.549,3.16,1.493,0.551,3.452,4.458
"['Materials', 'Dynamics', 'Thermofluids', 'Instrumentation', 'Mechanisms', 'Structures']",0.59,7,6.365,6.955,5.614,5.53,2.688,4.769,7.884,0.848,4.102,4.578,3.16,1.123,0.551,3.267,10.028
"['Instrumentation', 'Materials', 'Structures', 'Thermofluids', 'Dynamics', 'Mechanisms']",0.589,5,6.072,7.145,5.015,5.543,4.35,5.309,6.323,3.289,3.723,4.62,1.977,3.98,1.382,3.195,5.538
"['Materials', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Thermofluids', 'Structures']",0.589,8,5.888,7.467,5.269,5.05,3.1,4.314,8.641,1.956,3.913,3.636,2.616,2.367,0.821,3.075,9.349
"['Instrumentation', 'Thermofluids', 'Mechanisms', 'Materials', 'Dynamics', 'Structures']",0.588,7,7.029,5.292,5.129,4.706,6.678,6.839,4.004,3.211,5.363,5.636,2.26,3.825,1.228,3.04,3.219
"['Instrumentation', 'Thermofluids', 'Dynamics', 'Materials', 'Structures', 'Mechanisms']",0.588,6,7.029,6.375,4.808,4.938,5.483,7.806,3.246,2.89,5.456,6.719,2.148,3.183,0.586,3.365,3.429
"['Thermofluids', 'Dynamics', 'Materials', 'Mechanisms', 'Instrumentation', 'Structures']",0.588,8,7.745,4.311,5.951,5.732,5.448,7.002,3.48,0.737,5.427,6.934,3.565,1.148,0.821,3.414,5.746
"['Instrumentation', 'Thermofluids', 'Dynamics', 'Materials', 'Mechanisms', 'Structures']",0.587,7,7.029,6.259,4.79,4.706,5.662,7.806,3.327,2.873,5.653,6.604,2.212,3.148,0.551,3.331,3.51
"['Thermofluids', 'Structures', 'Instrumentation', 'Mechanisms', 'Materials', 'Dynamics']",0.587,8,7.514,3.096,6.317,7.003,6.968,5.728,3.0,2.257,3.845,6.257,3.177,3.573,2.63,3.334,2.761
"['Thermofluids', 'Structures', 'Instrumentation', 'Dynamics', 'Materials', 'Mechanisms']",0.586,8,7.514,3.763,6.084,7.003,6.268,6.394,2.533,2.024,4.045,6.924,3.144,3.106,2.164,3.534,2.961
"['Thermofluids', 'Mechanisms', 'Materials', 'Structures', 'Dynamics', 'Instrumentation']",0.586,8,7.566,2.402,6.672,6.192,7.151,4.817,4.736,1.368,4.403,5.114,3.805,2.589,2.441,3.029,5.176
"['Materials', 'Mechanisms', 'Thermofluids', 'Structures', 'Instrumentation', 'Dynamics']",0.585,8,6.12,4.664,6.436,5.956,4.729,2.204,9.377,1.547,3.0,2.41,3.524,2.768,2.441,2.837,9.446
"['Materials', 'Structures', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Instrumentation']",0.585,6,5.941,5.307,6.441,7.127,3.573,2.217,8.847,1.463,2.031,3.143,3.459,2.778,2.63,3.218,9.286
"['Instrumentation', 'Materials', 'Mechanisms', 'Thermofluids', 'Structures', 'Dynamics']",0.584,7,6.072,6.466,5.053,4.747,5.263,5.028,6.798,3.327,4.316,3.941,2.21,4.057,1.46,2.991,5.732
"['Materials', 'Structures', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Instrumentation']",0.584,7,5.941,5.693,6.306,7.127,3.169,2.602,8.577,1.328,2.147,3.528,3.439,2.508,2.36,3.334,9.402
"['Instrumentation', 'Materials', 'Dynamics', 'Thermofluids', 'Structures', 'Mechanisms']",0.583,6,6.072,7.714,4.616,4.747,3.952,6.276,5.925,2.89,4.691,5.189,2.148,3.183,0.586,3.365,6.107
"['Materials', 'Instrumentation', 'Structures', 'Mechanisms', 'Dynamics', 'Thermofluids']",0.583,6,5.466,7.014,5.501,5.796,3.332,3.065,9.155,2.471,2.805,2.902,2.677,3.395,1.849,3.136,8.896
"['Materials', 'Mechanisms', 'Instrumentation', 'Thermofluids', 'Structures', 'Dynamics']",0.583,8,5.862,5.429,6.004,5.365,4.604,2.545,9.526,2.004,3.325,2.285,3.207,3.066,2.124,2.827,9.288
"['Thermofluids', 'Mechanisms', 'Materials', 'Dynamics', 'Structures', 'Instrumentation']",0.583,8,7.566,2.628,6.513,5.875,6.992,5.203,4.578,1.21,4.789,5.34,3.873,2.272,2.124,3.097,5.403
"['Thermofluids', 'Dynamics', 'Materials', 'Structures', 'Mechanisms', 'Instrumentation']",0.583,7,7.566,4.317,6.001,6.192,5.139,6.733,3.395,0.698,4.978,7.029,3.71,1.248,1.1,3.604,5.751
"['Instrumentation', 'Materials', 'Mechanisms', 'Thermofluids', 'Dynamics', 'Structures']",0.582,6,6.072,6.631,4.938,4.515,5.147,5.309,6.683,3.211,4.597,4.106,2.26,3.825,1.228,3.04,5.898
"['Materials', 'Instrumentation', 'Structures', 'Dynamics', 'Mechanisms', 'Thermofluids']",0.582,5,5.466,7.399,5.366,5.796,2.928,3.451,8.885,2.336,2.921,3.287,2.658,3.125,1.579,3.251,9.011
"['Materials', 'Dynamics', 'Thermofluids', 'Structures', 'Instrumentation', 'Mechanisms']",0.582,6,6.12,6.862,5.667,5.956,2.422,4.401,7.839,0.778,3.66,4.608,3.414,1.23,0.903,3.496,10.105
"['Instrumentation', 'Materials', 'Dynamics', 'Thermofluids', 'Mechanisms', 'Structures']",0.581,7,6.072,7.598,4.599,4.515,4.132,6.276,6.006,2.873,4.888,5.073,2.212,3.148,0.551,3.331,6.188
"['Materials', 'Mechanisms', 'Instrumentation', 'Thermofluids', 'Dynamics', 'Structures']",0.581,8,5.862,5.594,5.888,5.133,4.488,2.826,9.41,1.888,3.606,2.451,3.256,2.834,1.892,2.877,9.453
"['Materials', 'Mechanisms', 'Thermofluids', 'Dynamics', 'Instrumentation', 'Structures']",0.581,8,6.12,5.057,6.162,5.407,4.455,2.87,9.103,1.273,3.667,2.803,3.642,2.219,1.892,2.955,9.838
"['Thermofluids', 'Dynamics', 'Materials', 'Mechanisms', 'Structures', 'Instrumentation']",0.581,8,7.566,4.159,5.978,5.875,5.385,6.733,3.506,0.674,5.248,6.871,3.797,1.2,1.052,3.556,5.862
"['Materials', 'Instrumentation', 'Mechanisms', 'Structures', 'Dynamics', 'Thermofluids']",0.58,7,5.466,6.774,5.465,5.317,3.704,3.065,9.323,2.435,3.213,2.662,2.809,3.323,1.777,3.064,9.063
"['Materials', 'Dynamics', 'Instrumentation', 'Thermofluids', 'Structures', 'Mechanisms']",0.58,6,5.862,7.626,5.235,5.365,2.297,4.742,7.988,1.235,3.984,4.483,3.097,1.528,0.586,3.487,9.947
"['Thermofluids', 'Mechanisms', 'Instrumentation', 'Structures', 'Materials', 'Dynamics']",0.579,8,7.514,2.466,6.223,5.743,7.945,5.728,3.441,2.163,4.916,5.627,3.524,3.384,2.441,3.145,3.202
"['Materials', 'Instrumentation', 'Dynamics', 'Structures', 'Mechanisms', 'Thermofluids']",0.578,6,5.466,7.742,5.127,5.317,2.688,4.032,8.646,2.096,3.503,3.63,2.761,2.646,1.1,3.354,9.354
"['Materials', 'Dynamics', 'Instrumentation', 'Thermofluids', 'Mechanisms', 'Structures']",0.578,7,5.862,7.51,5.217,5.133,2.477,4.742,8.069,1.218,4.181,4.367,3.16,1.493,0.551,3.452,10.028
"['Materials', 'Dynamics', 'Thermofluids', 'Mechanisms', 'Instrumentation', 'Structures']",0.578,7,6.12,6.587,5.626,5.407,2.848,4.401,8.031,0.737,4.126,4.333,3.565,1.148,0.821,3.414,10.298
"['Instrumentation', 'Thermofluids', 'Structures', 'Mechanisms', 'Materials', 'Dynamics']",0.577,7,6.691,5.188,5.102,5.397,6.581,6.558,3.437,3.522,4.674,5.869,2.396,4.446,1.849,3.38,2.371
"['Materials', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Structures', 'Thermofluids']",0.577,8,5.466,7.001,5.307,5.0,3.545,3.451,9.164,2.276,3.598,2.889,2.877,3.006,1.46,3.132,9.29
"['Instrumentation', 'Thermofluids', 'Structures', 'Dynamics', 'Materials', 'Mechanisms']",0.576,6,6.691,5.854,4.869,5.397,5.881,7.225,2.97,3.289,4.874,6.536,2.363,3.98,1.382,3.58,2.571
"['Materials', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Structures', 'Thermofluids']",0.576,8,5.466,7.583,5.103,5.0,2.934,4.032,8.757,2.072,3.773,3.471,2.848,2.599,1.052,3.306,9.465
"['Thermofluids', 'Structures', 'Mechanisms', 'Materials', 'Instrumentation', 'Dynamics']",0.576,8,7.236,2.51,6.551,7.033,6.964,4.805,3.774,1.846,3.637,5.641,3.788,3.364,3.037,3.433,3.843
"['Thermofluids', 'Dynamics', 'Instrumentation', 'Structures', 'Materials', 'Mechanisms']",0.576,7,7.514,4.663,5.454,5.743,5.638,7.925,1.903,1.394,5.576,7.824,3.414,1.846,0.903,3.804,3.862
"['Materials', 'Mechanisms', 'Thermofluids', 'Structures', 'Dynamics', 'Instrumentation']",0.576,8,5.941,4.677,6.347,5.867,4.55,2.217,9.288,1.368,3.103,2.513,3.805,2.589,2.441,3.029,9.728
"['Instrumentation', 'Thermofluids', 'Mechanisms', 'Structures', 'Materials', 'Dynamics']",0.574,8,6.691,4.948,5.066,4.918,6.952,6.558,3.604,3.486,5.081,5.63,2.528,4.374,1.777,3.308,2.538
"['Thermofluids', 'Structures', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Materials']",0.574,7,7.268,3.131,6.071,6.757,6.968,6.009,2.508,2.257,4.126,6.538,3.459,3.573,2.63,3.615,2.55
"['Materials', 'Structures', 'Instrumentation', 'Mechanisms', 'Thermofluids', 'Dynamics']",0.574,6,5.284,6.218,5.871,6.557,3.401,2.16,9.244,2.257,2.061,2.689,3.177,3.573,2.63,3.334,9.005
"['Thermofluids', 'Mechanisms', 'Instrumentation', 'Dynamics', 'Materials', 'Structures']",0.574,8,7.514,2.858,5.948,5.194,7.671,6.394,3.167,1.888,5.583,6.019,3.642,2.834,1.892,3.262,3.595
"['Thermofluids', 'Structures', 'Dynamics', 'Materials', 'Instrumentation', 'Mechanisms']",0.574,7,7.236,3.758,6.114,7.033,5.653,6.053,2.9,1.409,4.011,6.89,3.726,2.49,2.164,3.808,4.217
"['Materials', 'Mechanisms', 'Thermofluids', 'Dynamics', 'Structures', 'Instrumentation']",0.574,8,5.941,4.904,6.188,5.549,4.391,2.602,9.129,1.21,3.488,2.739,3.873,2.272,2.124,3.097,9.954
"['Materials', 'Dynamics', 'Thermofluids', 'Structures', 'Mechanisms', 'Instrumentation']",0.574,6,5.941,6.593,5.676,5.867,2.538,4.132,7.947,0.698,3.678,4.429,3.71,1.248,1.1,3.604,10.302
"['Thermofluids', 'Structures', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Materials']",0.573,9,7.268,3.516,5.936,6.757,6.564,6.394,2.238,2.123,4.242,6.924,3.439,3.303,2.36,3.731,2.666
"['Materials', 'Structures', 'Instrumentation', 'Dynamics', 'Thermofluids', 'Mechanisms']",0.573,6,5.284,6.884,5.638,6.557,2.701,2.826,8.777,2.024,2.261,3.356,3.144,3.106,2.164,3.534,9.205
"['Instrumentation', 'Thermofluids', 'Dynamics', 'Structures', 'Materials', 'Mechanisms']",0.572,6,6.691,6.197,4.629,4.918,5.641,7.806,2.731,3.049,5.456,6.878,2.465,3.501,0.903,3.683,2.913
"['Thermofluids', 'Dynamics', 'Instrumentation', 'Mechanisms', 'Materials', 'Structures']",0.572,7,7.514,4.388,5.413,5.194,6.064,7.925,2.095,1.353,6.042,7.549,3.565,1.763,0.821,3.722,4.054
"['Thermofluids', 'Mechanisms', 'Structures', 'Materials', 'Instrumentation', 'Dynamics']",0.571,8,7.236,2.119,6.492,6.251,7.569,4.805,4.047,1.787,4.301,5.251,4.003,3.247,2.92,3.316,4.116
"['Materials', 'Dynamics', 'Thermofluids', 'Mechanisms', 'Structures', 'Instrumentation']",0.571,7,5.941,6.434,5.652,5.549,2.784,4.132,8.058,0.674,3.947,4.27,3.797,1.2,1.052,3.556,10.413
"['Instrumentation', 'Materials', 'Structures', 'Mechanisms', 'Thermofluids', 'Dynamics']",0.57,6,5.494,6.864,4.863,5.158,4.665,4.642,6.789,3.522,3.716,3.953,2.396,4.446,1.849,3.38,5.723
"['Instrumentation', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Materials', 'Structures']",0.57,8,6.691,5.34,4.792,4.369,6.678,7.225,3.33,3.211,5.748,6.022,2.645,3.825,1.228,3.426,2.931
"['Thermofluids', 'Structures', 'Mechanisms', 'Instrumentation', 'Materials', 'Dynamics']",0.57,8,7.144,2.541,6.336,6.818,7.209,5.172,3.222,2.091,3.882,5.887,3.788,3.61,3.037,3.556,3.168
"['Instrumentation', 'Materials', 'Structures', 'Dynamics', 'Thermofluids', 'Mechanisms']",0.569,5,5.494,7.531,4.629,5.158,3.965,5.309,6.323,3.289,3.916,4.62,2.363,3.98,1.382,3.58,5.923
"['Instrumentation', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Materials', 'Structures']",0.569,7,6.691,5.922,4.588,4.369,6.067,7.806,2.923,3.008,5.922,6.604,2.616,3.418,0.821,3.6,3.105
"['Thermofluids', 'Structures', 'Dynamics', 'Instrumentation', 'Materials', 'Mechanisms']",0.568,8,7.144,3.789,5.899,6.818,5.898,6.421,2.348,1.654,4.257,7.135,3.726,2.736,2.164,3.93,3.543
"['Thermofluids', 'Dynamics', 'Structures', 'Materials', 'Instrumentation', 'Mechanisms']",0.568,7,7.236,4.316,5.723,6.251,5.262,7.002,2.509,1.018,4.96,7.448,3.893,1.709,1.382,3.975,4.775
"['Instrumentation', 'Materials', 'Mechanisms', 'Structures', 'Thermofluids', 'Dynamics']",0.567,7,5.494,6.624,4.827,4.679,5.036,4.642,6.957,3.486,4.123,3.714,2.528,4.374,1.777,3.308,5.891
"['Thermofluids', 'Structures', 'Mechanisms', 'Materials', 'Dynamics', 'Instrumentation']",0.567,8,7.057,2.523,6.461,6.943,6.785,4.817,3.684,1.667,3.739,5.744,4.07,3.185,3.037,3.625,4.124
"['Materials', 'Mechanisms', 'Instrumentation', 'Structures', 'Thermofluids', 'Dynamics']",0.566,7,5.284,5.588,5.777,5.297,4.377,2.16,9.685,2.163,3.132,2.059,3.524,3.384,2.441,3.145,9.446
"['Thermofluids', 'Structures', 'Dynamics', 'Materials', 'Mechanisms', 'Instrumentation']",0.566,7,7.057,3.49,6.123,6.943,5.769,5.784,3.007,1.328,4.029,6.711,4.021,2.508,2.36,3.915,4.414
"['Instrumentation', 'Materials', 'Dynamics', 'Structures', 'Thermofluids', 'Mechanisms']",0.565,5,5.494,7.873,4.39,4.679,3.725,5.891,6.083,3.049,4.498,4.962,2.465,3.501,0.903,3.683,6.265
"['Thermofluids', 'Mechanisms', 'Instrumentation', 'Structures', 'Dynamics', 'Materials']",0.565,9,7.268,2.501,5.977,5.497,7.945,6.009,2.949,2.163,5.198,5.908,3.805,3.384,2.441,3.426,2.991
"['Thermofluids', 'Mechanisms', 'Structures', 'Instrumentation', 'Materials', 'Dynamics']",0.565,8,7.144,2.15,6.277,6.037,7.815,5.172,3.496,2.032,4.546,5.496,4.003,3.492,2.92,3.439,3.442
"['Instrumentation', 'Thermofluids', 'Structures', 'Mechanisms', 'Dynamics', 'Materials']",0.564,6,6.445,5.223,4.856,5.151,6.581,6.839,2.944,3.522,4.955,6.151,2.677,4.446,1.849,3.661,2.16
"['Materials', 'Structures', 'Mechanisms', 'Thermofluids', 'Instrumentation', 'Dynamics']",0.564,5,5.247,5.295,6.153,6.635,3.781,1.622,9.343,1.846,2.046,2.459,3.788,3.364,3.037,3.433,9.412
"['Instrumentation', 'Thermofluids', 'Structures', 'Dynamics', 'Mechanisms', 'Materials']",0.563,6,6.445,5.608,4.721,5.151,6.176,7.225,2.675,3.387,5.071,6.536,2.658,4.177,1.579,3.777,2.275
"['Instrumentation', 'Materials', 'Mechanisms', 'Dynamics', 'Thermofluids', 'Structures']",0.563,6,5.494,7.017,4.552,4.13,4.762,5.309,6.683,3.211,4.79,4.106,2.645,3.825,1.228,3.426,6.283
"['Thermofluids', 'Mechanisms', 'Instrumentation', 'Dynamics', 'Structures', 'Materials']",0.563,9,7.268,2.728,5.818,5.179,7.787,6.394,2.79,2.004,5.583,6.135,3.873,3.066,2.124,3.494,3.218
"['Thermofluids', 'Dynamics', 'Instrumentation', 'Structures', 'Mechanisms', 'Materials']",0.563,7,7.268,4.417,5.306,5.497,5.934,7.925,1.608,1.492,5.772,7.824,3.71,2.042,1.1,4.001,3.566
"['Materials', 'Structures', 'Dynamics', 'Thermofluids', 'Instrumentation', 'Mechanisms']",0.563,5,5.247,6.543,5.716,6.635,2.47,2.87,8.469,1.409,2.42,3.707,3.726,2.49,2.164,3.808,9.787
"['Materials', 'Dynamics', 'Instrumentation', 'Structures', 'Thermofluids', 'Mechanisms']",0.563,6,5.284,7.785,5.008,5.297,2.07,4.357,8.147,1.394,3.792,4.256,3.414,1.846,0.903,3.804,10.105
"['Instrumentation', 'Materials', 'Dynamics', 'Mechanisms', 'Thermofluids', 'Structures']",0.562,6,5.494,7.598,4.349,4.13,4.151,5.891,6.275,3.008,4.965,4.688,2.616,3.418,0.821,3.6,6.458
"['Thermofluids', 'Mechanisms', 'Structures', 'Materials', 'Dynamics', 'Instrumentation']",0.562,8,7.057,2.132,6.402,6.162,7.39,4.817,3.958,1.608,4.403,5.353,4.284,3.068,2.92,3.508,4.398
"['Thermofluids', 'Mechanisms', 'Dynamics', 'Materials', 'Instrumentation', 'Structures']",0.562,8,7.236,2.854,5.978,5.223,7.055,6.053,3.533,1.273,5.549,5.985,4.223,2.219,1.892,3.536,4.851
"['Instrumentation', 'Thermofluids', 'Mechanisms', 'Structures', 'Dynamics', 'Materials']",0.561,8,6.445,4.983,4.82,4.672,6.952,6.839,3.112,3.486,5.363,5.911,2.809,4.374,1.777,3.589,2.327
"['Materials', 'Mechanisms', 'Instrumentation', 'Dynamics', 'Thermofluids', 'Structures']",0.561,8,5.284,5.98,5.502,4.748,4.103,2.826,9.41,1.888,3.799,2.451,3.642,2.834,1.892,3.262,9.838
"['Thermofluids', 'Dynamics', 'Structures', 'Instrumentation', 'Materials', 'Mechanisms']",0.561,7,7.144,4.347,5.508,6.037,5.508,7.37,1.958,1.263,5.205,7.693,3.893,1.954,1.382,4.098,4.101
"['Thermofluids', 'Dynamics', 'Mechanisms', 'Materials', 'Instrumentation', 'Structures']",0.561,7,7.236,3.802,5.646,5.223,6.059,7.002,2.869,0.941,5.834,6.934,4.176,1.555,1.228,3.821,5.135
"['Materials', 'Structures', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Thermofluids']",0.56,6,4.862,6.499,5.59,6.276,3.119,2.16,9.244,2.257,2.202,2.689,3.459,3.573,2.63,3.615,9.286
"['Thermofluids', 'Dynamics', 'Instrumentation', 'Mechanisms', 'Structures', 'Materials']",0.56,8,7.268,4.258,5.282,5.179,6.18,7.925,1.719,1.469,6.042,7.665,3.797,1.995,1.052,3.953,3.677
"['Instrumentation', 'Thermofluids', 'Dynamics', 'Structures', 'Mechanisms', 'Materials']",0.559,6,6.445,5.95,4.482,4.672,5.937,7.806,2.435,3.147,5.653,6.878,2.761,3.698,1.1,3.88,2.617
"['Materials', 'Structures', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Thermofluids']",0.559,6,4.862,6.884,5.455,6.276,2.715,2.545,8.974,2.123,2.317,3.074,3.439,3.303,2.36,3.731,9.402
"['Materials', 'Mechanisms', 'Structures', 'Thermofluids', 'Instrumentation', 'Dynamics']",0.559,8,5.247,4.904,6.094,5.854,4.387,1.622,9.617,1.787,2.71,2.068,4.003,3.247,2.92,3.316,9.686
"['Materials', 'Dynamics', 'Instrumentation', 'Mechanisms', 'Thermofluids', 'Structures']",0.559,8,5.284,7.51,4.967,4.748,2.496,4.357,8.339,1.353,4.258,3.981,3.565,1.763,0.821,3.722,10.298
"['Thermofluids', 'Dynamics', 'Structures', 'Materials', 'Mechanisms', 'Instrumentation']",0.559,7,7.057,4.048,5.732,6.162,5.379,6.733,2.617,0.937,4.978,7.269,4.189,1.727,1.579,4.083,4.972
"['Instrumentation', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Structures', 'Materials']",0.558,7,6.445,5.21,4.661,4.355,6.793,7.225,2.953,3.327,5.748,6.138,2.877,4.057,1.46,3.657,2.554
"['Instrumentation', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Structures', 'Materials']",0.557,7,6.445,5.792,4.458,4.355,6.183,7.806,2.546,3.124,5.922,6.719,2.848,3.65,1.052,3.832,2.729
"['Materials', 'Structures', 'Mechanisms', 'Instrumentation', 'Thermofluids', 'Dynamics']",0.557,5,4.914,5.662,5.89,6.372,3.641,1.604,9.466,2.091,2.098,2.319,3.788,3.61,3.037,3.556,9.412
"['Instrumentation', 'Materials', 'Structures', 'Mechanisms', 'Dynamics', 'Thermofluids']",0.556,5,5.072,7.145,4.581,4.876,4.384,4.642,6.789,3.522,3.857,3.953,2.677,4.446,1.849,3.661,6.005
"['Thermofluids', 'Structures', 'Mechanisms', 'Instrumentation', 'Dynamics', 'Materials']",0.556,8,6.898,2.576,6.09,6.572,7.209,5.454,2.73,2.091,4.163,6.168,4.07,3.61,3.037,3.837,2.957
"['Thermofluids', 'Mechanisms', 'Dynamics', 'Instrumentation', 'Materials', 'Structures']",0.556,8,7.144,2.884,5.763,5.009,7.301,6.421,2.982,1.518,5.795,6.23,4.223,2.464,1.892,3.659,4.176
"['Materials', 'Dynamics', 'Structures', 'Thermofluids', 'Instrumentation', 'Mechanisms']",0.556,6,5.247,7.101,5.325,5.854,2.08,3.819,8.079,1.018,3.369,4.265,3.893,1.709,1.382,3.975,10.345
"['Instrumentation', 'Materials', 'Structures', 'Dynamics', 'Mechanisms', 'Thermofluids']",0.555,5,5.072,7.531,4.446,4.876,3.979,5.028,6.52,3.387,3.972,4.339,2.658,4.177,1.579,3.777,6.12
"['Thermofluids', 'Structures', 'Dynamics', 'Instrumentation', 'Mechanisms', 'Materials']",0.555,8,6.898,3.543,5.751,6.572,6.194,6.421,2.053,1.752,4.454,7.135,4.021,2.933,2.36,4.127,3.248
"['Materials', 'Structures', 'Mechanisms', 'Thermofluids', 'Dynamics', 'Instrumentation']",0.555,5,5.068,5.307,6.063,6.545,3.602,1.635,9.254,1.667,2.148,2.561,4.07,3.185,3.037,3.625,9.694
"['Materials', 'Structures', 'Dynamics', 'Instrumentation', 'Thermofluids', 'Mechanisms']",0.555,5,4.914,6.911,5.453,6.372,2.33,2.853,8.592,1.654,2.473,3.567,3.726,2.736,2.164,3.93,9.787
"['Thermofluids', 'Mechanisms', 'Dynamics', 'Materials', 'Structures', 'Instrumentation']",0.555,8,7.057,2.701,6.004,5.365,6.992,5.784,3.56,1.21,5.37,5.922,4.455,2.272,2.124,3.679,4.967
"['Thermofluids', 'Dynamics', 'Mechanisms', 'Instrumentation', 'Materials', 'Structures']",0.555,7,7.144,3.833,5.431,5.009,6.304,7.37,2.317,1.186,6.079,7.179,4.176,1.8,1.228,3.944,4.461
"['Materials', 'Structures', 'Dynamics', 'Thermofluids', 'Mechanisms', 'Instrumentation']",0.554,5,5.068,6.275,5.725,6.545,2.587,2.602,8.577,1.328,2.438,3.528,4.021,2.508,2.36,3.915,9.984
"['Thermofluids', 'Dynamics', 'Mechanisms', 'Materials', 'Structures', 'Instrumentation']",0.554,7,7.057,3.65,5.672,5.365,5.996,6.733,2.896,0.878,5.655,6.871,4.408,1.608,1.46,3.963,5.251
"['Instrumentation', 'Structures', 'Thermofluids', 'Materials', 'Mechanisms', 'Dynamics']",0.553,7,5.605,5.915,4.746,5.567,5.618,5.609,4.232,3.778,3.93,5.311,2.773,4.958,2.36,3.891,3.166
"['Instrumentation', 'Materials', 'Mechanisms', 'Structures', 'Dynamics', 'Thermofluids']",0.553,7,5.072,6.906,4.545,4.397,4.755,4.642,6.957,3.486,4.264,3.714,2.809,4.374,1.777,3.589,6.172
