K_high,K_low,K_mid,K_neg,S_high,S_low,S_mid,S_neg,buffer,gamma,holdFactor,k,lookbackwindow,max_order_AS_size,sigma,zscorethreshold,profit
35.56104838677219,9.113029964595068,34.49889192889148,1.2853198109687796,26.244155027496966,1.017147412182787,3.5707717204652645,-19.168886133394366,18.6344258506157,2.6345501484152454,28.96446253617454,15.380396317284353,45.11787687428573,110.87141777295585,2.366517527319192,0.19032714872575046,9196
20.13758091221658,1.9077003464008762,2.7763514477982563,-1.7520160096419346,8.475233164513872,7.961085788814273,8.285071655232086,-30.274926246153004,1.827483392404744,4.747066103844492,22.637161217178395,2.9055505434222186,388.8861702640302,227.19112853926578,2.0487805386551603,1.1019068673455703,9174
39.64762818286536,-5.3665659723311325,37.714997787991514,-6.868020901389208,24.34869811566648,0.25377022033017127,9.303725487538571,-30.99707036771908,11.024310453508768,1.9050607083353324,31.205420495313458,11.153632515835174,33.6321248988812,484.58221244026487,2.7675717699268514,2.3193807079880324,8958
28.247887128311103,-1.4479733259332548,17.757566041108348,-6.884561446579035,37.457596796610176,-8.719873067827582,33.007255170145605,-25.08846136897815,22.195972725318892,0.26803762131133907,12.11173850558909,15.576306036273785,32.807158286982315,246.0567689621994,2.854221257716855,0.26348304526951305,8921
30.710812728351964,-1.9613817278151569,19.247037250125963,-7.997221375863127,34.959716856034916,9.681669383985902,30.754109213194276,-18.69389410946598,21.06785011385351,7.38894390080947,9.627208116155263,4.203749280810445,180.53796803218438,144.33225683538677,1.5926162409119802,0.5840193776247748,8862
35.15277089592378,-1.917193566979341,13.148623146373223,-5.952737336257179,32.33305308345622,5.245702695532316,31.932764589459516,-17.78525094454042,40.89171080875108,1.246080100937554,21.825115008637898,1.1670011544455257,165.66998580063378,183.86430590082753,1.7923453832185108,1.7386680167246555,8862
10.905172488675205,-5.048804594402272,2.594799200139545,-16.594033653562164,29.336065643967988,2.1346344943487274,26.947579577063383,-35.8613918946518,47.57453550883936,8.392993746738098,32.22310370797694,24.866530346211256,466.6917015257169,272.58272909073514,1.4005640357352518,1.5419590196313528,8862
14.424437363938601,-6.455134662800006,4.977733954616611,-9.392128576707218,30.884296333986946,9.756682313234169,20.227797704576215,-17.575536203730746,15.538912568103624,4.027519387963456,13.061857865623546,11.977405955291097,372.8270262264864,223.34313515614772,2.2171081430593103,2.1559422302852593,8862
22.885054793194268,-6.631368370030435,1.8491133132247095,-30.172025250196434,38.13305321076589,1.3063081304730506,24.46878614907402,-28.398002607113696,27.954094186785248,8.705170267512951,31.67854969136275,6.826616753091777,205.4879370382201,19.468702872135857,2.07364624418741,0.674060322397737,8850
27.855164045222594,-9.935634727914426,24.821614564647643,-21.869856467490774,31.788473517955662,-8.140187203537357,23.569270451240783,-15.47038261580769,32.11627629526137,0.695293265105535,23.24135311838244,17.283053050826187,282.5267467360046,302.14034563163096,2.3529358744527245,2.0124724992019245,8825
